city,airport,country,iata
Aberdeen,,United Kingdom,ABZ
Aberdeen (SD),,USA,ABR
Abidjan,,Cote d'Ivoire,ABJ
Abilene (TX),,USA,ABI
Abu Dhabi,Abu Dhabi International,United Arab Emirates,AUH
Akron (OH),,USA,CAK
Al Ain,,United Arab Emirates,AAN
Albany (GA),,USA,ABY
Albany (NY),Albany International Airport,USA,ALB
Albuquerque (NM),,USA,ABQ
Alfujairah (Fujairah),,United Arab Emirates,FJR
Allentown (PA),,USA,ABE
Altoona (PA),,USA,AOO
Altus,,USA,AXS
Amarillo (TX),,USA,AMA
Anchorage (AK),Ted Stevens Anchorage International,USA,ANC
Ann Arbor (MI),,USA,ARB
Anniston (AL),,USA,ANB
Appelton/Neenah/Menasha (WI),,USA,ATW
Asheville (NC),,USA,AVL
"Aspen, (CO)",Aspen-Pitkin County Airport,USA,ASE
Athens (GA),,USA,AHN
Athens (OH),,USA,ATO
Atlanta (GA),Hartsfield Atlanta International Airport,USA,ATL
Atlantic City (NJ),Atlantic City International,USA,ACY
Augusta (GA),,USA,AGS
Augusta (ME),Augusta State Airport,USA,AUG
Austin (TX),Austin-Bergstrom Airport,USA,AUS
Bakersfield (CA),,USA,BFL
Baltimore (MD),Washington International Airport,USA,BWI
Bangor (ME),,USA,BGR
Barra (the famous tidal beach landing),,United Kingdom,BRR
Baton Rouge (LA),Baton Rouge Metropolitan Airport,USA,BTR
Beaumont/Pt. Arthur (TX),,USA,BPT
Beckley (WV),,USA,BKW
Belfast,Belfast International Airport,United Kingdom,BFS
Belfast,George Best Belfast City Airport,United Kingdom,BHD
Bellingham (WA),,USA,BLI
Bemidji (MN),,USA,BJI
Benbecula,,United Kingdom,BEB
Benton Harbour (MI),,USA,BEH
Bethel (AK),,USA,BET
Billings (MT),,USA,BIL
Birmingham (AL),,USA,BHM
Birmingham,Birmingham International Airport,United Kingdom,BHX
Bismarck (ND),Bismarck Municipal Airport,USA,BIS
Blackpool,,United Kingdom,BLK
Bloomington (IL),,USA,BMI
Bloomington (IN),,USA,BMG
Bluefield (WV),,USA,BLF
Boise (ID),Boise Air Terminal,USA,BOI
Borrego Springs (CA),,USA,BXS
Boston (MA),General Edward Lawrence Logan,USA,BOS
Bouake,,Cote d'Ivoire,BYK
Bournemouth,,United Kingdom,BOH
Bozeman (MT),,USA,BZN
Bradford/Warren (PA) /Olean (NY),,USA,BFD
Brainerd (MN),,USA,BRD
Bridgeport (CT),,USA,BDR
Bristol,,United Kingdom,BRS
Brookings (SD),,USA,BKX
Brunswick (GA),,USA,BQK
Buffalo/Niagara Falls (NY),,USA,BUF
Bullhead City (NV),,USA,BHC
Burbank (CA),,USA,BUR
Burlington (VT),,USA,BTV
Burlington IA,,USA,BRL
Butte (MT),,USA,BTM
Cambrigde,,United Kingdom,CBG
Campbeltown,,United Kingdom,CAL
Cardiff,Cardiff Airport,United Kingdom,CWL
Carlsbad (CA),,USA,CLD
Carson City (NV),,USA,CSN
Casper (WY),,USA,CPR
Cedar City (UT),,USA,CDC
Cedar Rapids IA,,USA,CID
Champaign (IL),,USA,CMI
Charleston (SC),,USA,CHS
Charleston (WV),Yeager Airport,USA,CRW
Charlotte (NC),,USA,CLT
Charlottesville (VA),,USA,CHO
Chattanooga (TN),,USA,CHA
Cheyenne (WY),Cheyenne Regional Airport,USA,CYS
Chicago (IL),,USA,CHI
